# Formato: idArtista|idAlbum|nombre|sello|fechaLanzamiento|rutaPortada|puntuacion|generos(separados por coma)

10000|1|Dreams|EMI|07/11/2021|/users/storage/music/juanes/image/dreams.png|5.8|Electronica,Pop
10000|2|Revolution|Indie Records|17/11/2021|/users/storage/music/juanes/image/revolution.png|5.0|Musica Clasica
10001|1|Sunrise|Colombian Music|10/03/1991|/users/storage/music/ozuna/image/sunrise.png|6.6|Electronica,Latina,Blues
10002|1|Shadows|Warner Music|16/07/2023|/users/storage/music/elvis\ presley/image/shadows.png|5.7|Blues,Jazz,Reggae
10002|2|Dawn|Warner Music|20/05/2002|/users/storage/music/elvis\ presley/image/dawn.png|5.7|Latina
10002|3|Horizons|Warner Music|02/07/2016|/users/storage/music/elvis\ presley/image/horizons.png|7.2|Blues,Hip Hop,Pop,Musica Clasica
10002|4|Revolution|EMI|20/10/1999|/users/storage/music/elvis\ presley/image/revolution.png|5.3|Pop,Reggae,Jazz,Musica Clasica
10002|5|Revolution|Warner Music|28/01/1997|/users/storage/music/elvis\ presley/image/revolution.png|7.7|Pop,Musica Clasica,Latina
10003|1|Dawn|Indie Records|26/09/2009|/users/storage/music/chopin/image/dawn.png|6.3|Jazz,Reggae,Latina,Musica Clasica
10003|2|Colors|Sony Music|03/04/2019|/users/storage/music/chopin/image/colors.png|9.9|Electronica,Pop,Jazz
10003|3|Sunrise|Sony Music|15/05/2015|/users/storage/music/chopin/image/sunrise.png|8.7|Jazz
10003|4|Dusk|Colombian Music|27/01/1993|/users/storage/music/chopin/image/dusk.png|7.5|Pop,Jazz,Blues
10004|1|Dreams|Sony Music|28/12/2014|/users/storage/music/the\ weeknd/image/dreams.png|6.6|Latina,Electronica
10005|1|Reflections|Sony Music|02/03/2002|/users/storage/music/led\ zeppelin/image/reflections.png|5.8|Electronica,Blues,Pop
10005|2|Greatest Hits|Indie Records|23/11/2006|/users/storage/music/led\ zeppelin/image/greatest\ hits.png|6.1|Reggae,Pop,Electronica,Hip Hop
10006|1|Symphonic|EMI|15/09/1999|/users/storage/music/ed\ sheeran/image/symphonic.png|6.0|Blues,Reggae,Pop
10006|2|Greatest Hits|Universal Music|16/09/2014|/users/storage/music/ed\ sheeran/image/greatest\ hits.png|8.0|Reggae
10006|3|Anthology|Warner Music|04/04/1997|/users/storage/music/ed\ sheeran/image/anthology.png|9.6|Rock,Hip Hop,Latina,Reggae
10006|4|Symphonic|Universal Music|05/12/2009|/users/storage/music/ed\ sheeran/image/symphonic.png|6.6|Hip Hop,Pop
10006|5|Vol 2|Sony Music|05/12/2005|/users/storage/music/ed\ sheeran/image/vol\ 2.png|7.7|Electronica
10007|1|Vol 3|Warner Music|19/02/2021|/users/storage/music/los\ cafres/image/vol\ 3.png|8.5|Blues,Electronica
10008|1|Waves|Warner Music|10/04/2002|/users/storage/music/radiohead/image/waves.png|6.6|Latina,Blues
10008|2|Journey|Latin Records|18/08/2016|/users/storage/music/radiohead/image/journey.png|7.6|Rock,Latina,Blues,Electronica
10008|3|Lights|Colombian Music|02/05/1999|/users/storage/music/radiohead/image/lights.png|8.1|Pop,Musica Clasica,Blues
10008|4|Intimate|Indie Records|06/02/2000|/users/storage/music/radiohead/image/intimate.png|8.8|Hip Hop,Pop,Reggae,Rock
10009|1|Skylines|Colombian Music|08/10/2024|/users/storage/music/diplo/image/skylines.png|5.2|Reggae
10009|2|Destiny|EMI|20/08/2002|/users/storage/music/diplo/image/destiny.png|5.2|Musica Clasica,Jazz
10009|3|Live Concert|Universal Music|24/12/2006|/users/storage/music/diplo/image/live\ concert.png|9.9|Hip Hop,Musica Clasica
10009|4|Transformation|Indie Records|07/11/1991|/users/storage/music/diplo/image/transformation.png|5.6|Electronica,Hip Hop,Reggae
10009|5|Live Concert|EMI|28/08/2017|/users/storage/music/diplo/image/live\ concert.png|7.2|Pop,Blues
10010|1|Intimate|Indie Records|07/12/2013|/users/storage/music/van\ halen/image/intimate.png|9.6|Reggae,Musica Clasica,Rock
10010|2|Revolution|EMI|12/09/2013|/users/storage/music/van\ halen/image/revolution.png|6.9|Latina,Pop,Hip Hop
10010|3|Revolution|Indie Records|21/11/2013|/users/storage/music/van\ halen/image/revolution.png|9.1|Musica Clasica,Jazz,Hip Hop
